Name,Location Type,Parent Name,Capacity,Latitude 1,Longitude 1,Latitude 2,Longitude 2,Latitude 3,Longitude 3,Latitude 4,Longitude 4,Latitude 5,Longitude 5,Circle Radius,Circle Center
KM 197                        ,                              ,                              ,                              ,33.22032869960386,-96.87718669021936,33.22027596133596,-96.87730166519835,33.22030812914677,-96.87730114672233,33.2203605202876,-96.87718652101083,33.220318327593546            ,-96.87724400578773            ,                                                            ,                                                                                                    
KM 196                        ,                              ,                              ,                              ,33.22029687892013,-96.87718685942791,33.220243793525135,-96.87730218367436,33.22027596133596,-96.87730166519835,33.22032869960386,-96.87718669021936,33.22028633334627             ,-96.87724434962999            ,                                                            ,                                                                                                    
KM 195                        ,                              ,                              ,                              ,33.22026505823639,-96.87718702863644,33.22021162571432,-96.87730270215037,33.220243793525135,-96.87730218367436,33.22029687892013,-96.87718685942791,33.22025433909899             ,-96.87724469347228            ,                                                            ,                                                                                                    
KM 194                        ,                              ,                              ,                              ,33.22023323755266,-96.87718719784498,33.220179457903505,-96.87730322062639,33.22021162571432,-96.87730270215037,33.22026505823639,-96.87718702863644,33.22022234485172             ,-96.87724503731455            ,                                                            ,                                                                                                    
KM 193                        ,                              ,                              ,                              ,33.220201416868925,-96.87718736705351,33.22014729009269,-96.8773037391024,33.220179457903505,-96.87730322062639,33.22023323755266,-96.87718719784498,33.22019035060445             ,-96.87724538115683            ,                                                            ,                                                                                                    
KM 192                        ,                              ,                              ,                              ,33.22016959618519,-96.87718753626206,33.22011512228187,-96.87730425757842,33.22014729009269,-96.8773037391024,33.220201416868925,-96.87718736705351,33.22015835635717             ,-96.8772457249991             ,                                                            ,                                                                                                    
KM 191                        ,                              ,                              ,                              ,33.220137775501456,-96.87718770547059,33.22008295447105,-96.87730477605443,33.22011512228187,-96.87730425757842,33.22016959618519,-96.87718753626206,33.220126362109895            ,-96.87724606884137            ,                                                            ,                                                                                                    
KM 190                        ,                              ,                              ,                              ,33.22010595481772,-96.87718787467912,33.22005078666024,-96.87730529453044,33.22008295447105,-96.87730477605443,33.220137775501456,-96.87718770547059,33.220094367862615            ,-96.87724641268365            ,                                                            ,                                                                                                    
KM 189                        ,                              ,                              ,                              ,33.22007413413399,-96.87718804388767,33.220018618849416,-96.87730581300646,33.22005078666024,-96.87730529453044,33.22010595481772,-96.87718787467912,33.22006237361534             ,-96.87724675652592            ,                                                            ,                                                                                                    
KM 188                        ,                              ,                              ,                              ,33.22004231345025,-96.8771882130962,33.2199864510386,-96.87730633148247,33.220018618849416,-96.87730581300646,33.22007413413399,-96.87718804388767,33.22003037936807             ,-96.8772471003682             ,                                                            ,                                                                                                    
KM 187                        ,                              ,                              ,                              ,33.22001049276652,-96.87718838230474,33.219954283227786,-96.87730684995849,33.2199864510386,-96.87730633148247,33.22004231345025,-96.8771882130962,33.21999838512079             ,-96.87724744421047            ,                                                            ,                                                                                                    
KM 186                        ,                              ,                              ,                              ,33.21997867208278,-96.87718855151329,33.21992211541696,-96.8773073684345,33.219954283227786,-96.87730684995849,33.22001049276652,-96.87718838230474,33.21996639087351             ,-96.87724778805274            ,                                                            ,                                                                                                    
KM 185                        ,                              ,                              ,                              ,33.219946851399044,-96.87718872072182,33.21988994760615,-96.8773078869105,33.21992211541696,-96.8773073684345,33.21997867208278,-96.87718855151329,33.219934396626236            ,-96.87724813189502            ,                                                            ,                                                                                                    
KM 184                        ,                              ,                              ,                              ,33.21991503071531,-96.87718888993035,33.21985777979533,-96.87730840538651,33.21988994760615,-96.8773078869105,33.219946851399044,-96.87718872072182,33.21990240237896             ,-96.8772484757373             ,                                                            ,                                                                                                    
KM 183                        ,                              ,                              ,                              ,33.219883210031576,-96.87718905913889,33.21982561198452,-96.87730892386253,33.21985777979533,-96.87730840538651,33.21991503071531,-96.87718888993035,33.21987040813168             ,-96.87724881957956            ,                                                            ,                                                                                                    
KM 182                        ,                              ,                              ,                              ,33.219851389347845,-96.87718922834743,33.219793444173696,-96.87730944233854,33.21982561198452,-96.87730892386253,33.219883210031576,-96.87718905913889,33.21983841388441             ,-96.87724916342185            ,                                                            ,                                                                                                    
KM 181                        ,                              ,                              ,                              ,33.21981956866411,-96.87718939755597,33.21976127636288,-96.87730996081456,33.219793444173696,-96.87730944233854,33.219851389347845,-96.87718922834743,33.21980641963713             ,-96.87724950726414            ,                                                            ,                                                                                                    
KM 180                        ,                              ,                              ,                              ,33.21978774798037,-96.8771895667645,33.219729108552066,-96.87731047929057,33.21976127636288,-96.87730996081456,33.21981956866411,-96.87718939755597,33.21977442538986             ,-96.8772498511064             ,                                                            ,                                                                                                    
KM 179                        ,                              ,                              ,                              ,33.21975592729664,-96.87718973597305,33.219696940741244,-96.87731099776659,33.219729108552066,-96.87731047929057,33.21978774798037,-96.8771895667645,33.21974243114258             ,-96.87725019494869            ,                                                            ,                                                                                                    
KM 178                        ,                              ,                              ,                              ,33.2197241066129,-96.87718990518158,33.21966477293043,-96.8773115162426,33.219696940741244,-96.87731099776659,33.21975592729664,-96.87718973597305,33.219710436895305            ,-96.87725053879095            ,                                                            ,                                                                                                    
KM 177                        ,                              ,                              ,                              ,33.21969228592917,-96.87719007439011,33.219632605119614,-96.87731203471861,33.21966477293043,-96.8773115162426,33.2197241066129,-96.87718990518158,33.21967844264803             ,-96.87725088263323            ,                                                            ,                                                                                                    
KM 176                        ,                              ,                              ,                              ,33.21966046524543,-96.87719024359865,33.2196004373088,-96.87731255319463,33.219632605119614,-96.87731203471861,33.21969228592917,-96.87719007439011,33.21964644840075             ,-96.8772512264755             ,                                                            ,                                                                                                    
KM 175                        ,                              ,                              ,                              ,33.2196286445617,-96.8771904128072,33.21956826949798,-96.87731307167064,33.2196004373088,-96.87731255319463,33.21966046524543,-96.87719024359865,33.21961445415348             ,-96.87725157031778            ,                                                            ,                                                                                                    
KM 174                        ,                              ,                              ,                              ,33.219596823877964,-96.87719058201573,33.21953610168716,-96.87731359014666,33.21956826949798,-96.87731307167064,33.2196286445617,-96.8771904128072,33.219582459906206            ,-96.87725191416006            ,                                                            ,                                                                                                    
KM 173                        ,                              ,                              ,                              ,33.21956994399454,-96.8775122235801,33.219626480880635,-96.8774100931357,33.21959457575436,-96.87741048260145,33.219537922157144,-96.87751244709752,33.21958223069667             ,-96.8774613116037             ,                                                            ,                                                                                                    
KM 172                        ,                              ,                              ,                              ,33.21960196583194,-96.87751200006268,33.21965838600692,-96.87740970366994,33.219626480880635,-96.8774100931357,33.21956994399454,-96.8775122235801,33.21961419417851             ,-96.87746100511211            ,                                                            ,                                                                                                    
KM 171                        ,                              ,                              ,                              ,33.21963398766934,-96.87751177654526,33.2196902911332,-96.87740931420419,33.21965838600692,-96.87740970366994,33.21960196583194,-96.87751200006268,33.21964615766035             ,-96.87746069862052            ,                                                            ,                                                                                                    
