epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.616,1.14144,2.41785,1.47353,0.83444,0.80531,0.8388,0.66231,0.86105,1.6629,1.22716,0.0004,0.0004,0.0004
2,64.4949,0.99669,1.18712,1.33188,0.08599,0.71681,0.08926,0.04899,1.46343,58.9014,2.29652,0.000811882,0.000811882,0.000811882
3,95.0695,1.02699,1.03914,1.345,0.00938,0.16814,0.00457,0.00113,3.78807,249.008,13.6591,0.00121545,0.00121545,0.00121545
4,124.597,1.07116,1.03125,1.39786,0.00103,0.21239,0.00068,0.0002,4.4085,209.274,17.8481,0.0016107,0.0016107,0.0016107
5,153.97,1.08887,0.97843,1.34171,0.00346,0.0177,0.00074,0.00026,4.55414,36.2396,8.67279,0.0019208,0.0019208,0.0019208
6,183.472,1.05239,0.98473,1.34036,0.02415,0.46903,0.01714,0.00754,2.30719,84.3977,3.37479,0.001901,0.001901,0.001901
7,213.761,1.01741,0.86905,1.33007,0.57673,0.79646,0.73681,0.48797,1.14067,5.40014,1.50214,0.0018812,0.0018812,0.0018812
8,243.326,0.93074,0.8224,1.27449,0.10806,0.23894,0.07618,0.04749,2.15779,4.26968,2.50593,0.0018614,0.0018614,0.0018614
9,273.487,0.95843,0.83843,1.26798,0.8008,0.80531,0.87205,0.6474,0.9957,2.41933,1.35882,0.0018416,0.0018416,0.0018416
10,303.556,0.98138,0.80247,1.27682,0.83794,0.85841,0.90053,0.67767,0.91152,1.04019,1.264,0.0018218,0.0018218,0.0018218
11,333.501,0.91983,0.78741,1.2595,0.8033,0.80531,0.87707,0.61252,0.95657,0.96057,1.38716,0.001802,0.001802,0.001802
12,363.432,0.92255,0.79535,1.28839,0.90253,0.84956,0.93535,0.73426,0.84408,1.06741,1.27312,0.0017822,0.0017822,0.0017822
13,393.438,0.90109,0.74889,1.24051,0.85159,0.9292,0.93764,0.74658,0.79912,0.96575,1.2624,0.0017624,0.0017624,0.0017624
14,423.414,0.87004,0.74808,1.20422,0.89573,0.84071,0.91278,0.69938,0.89379,1.0374,1.30199,0.0017426,0.0017426,0.0017426
15,452.739,0.86919,0.7324,1.23274,0.90475,0.84057,0.88277,0.63936,0.95533,1.04127,1.41864,0.0017228,0.0017228,0.0017228
16,482.561,0.84236,0.70149,1.21049,0.83773,0.92035,0.928,0.7622,0.75109,0.72549,1.1396,0.001703,0.001703,0.001703
17,512.23,0.83822,0.7073,1.19595,0.87459,0.9292,0.94778,0.7636,0.80273,0.67904,1.28743,0.0016832,0.0016832,0.0016832
18,541.871,0.81495,0.66095,1.18474,0.88278,0.92035,0.93982,0.74828,0.8103,0.79978,1.25931,0.0016634,0.0016634,0.0016634
19,571.277,0.8686,0.74549,1.23514,0.87996,0.92035,0.9504,0.78622,0.70881,0.7387,1.14011,0.0016436,0.0016436,0.0016436
20,600.905,0.80274,0.64172,1.18033,0.87696,0.9469,0.94483,0.75988,0.76297,0.72713,1.19467,0.0016238,0.0016238,0.0016238
21,630.249,0.79935,0.62873,1.1704,0.86884,0.93795,0.94769,0.78196,0.74213,0.62886,1.18459,0.001604,0.001604,0.001604
22,660.53,0.78814,0.63908,1.1795,0.88073,0.91485,0.93812,0.75629,0.75213,0.65157,1.2115,0.0015842,0.0015842,0.0015842
23,689.727,0.78778,0.62571,1.1641,0.89572,0.9292,0.95534,0.77411,0.71297,0.63528,1.12666,0.0015644,0.0015644,0.0015644
24,719.765,0.76892,0.64139,1.14529,0.88007,0.9292,0.95247,0.74964,0.79897,0.60728,1.1304,0.0015446,0.0015446,0.0015446
25,749.296,0.7597,0.62351,1.1364,0.90405,0.9172,0.94216,0.77939,0.74517,0.61082,1.15563,0.0015248,0.0015248,0.0015248
26,778.693,0.76326,0.64831,1.16381,0.9022,0.9292,0.95723,0.78037,0.7415,0.60638,1.18028,0.001505,0.001505,0.001505
27,808.251,0.74789,0.61044,1.15256,0.91928,0.90265,0.95273,0.79373,0.66789,0.57104,1.11961,0.0014852,0.0014852,0.0014852
